WORDS                | FREQUENCY
HEALTHY              |         1
ROUTE                |         1
204                  |         1
ICY                  |         1
FELL                 |         1
GUESS                |         1
TERRIFICALLY         |         1
SUN                  |         1
CROSSED              |         1
RANG                 |         1
DOORBELL             |         1
EARS                 |         1
HURTING              |         1
MOVE                 |         1
FINGERS              |         1
LOUD                 |         1
ALMOST               |         1
SOMEBODY             |         1
OPEN                 |         1
MAID                 |         1
THEMSELVES           |         1
LOVELY               |         1
DEATH                |         1
GLAD                 |         1
YOUR                 |         1
ASK                  |         1
DEAF                 |         1
HUNG                 |         1
BRUSHED              |         1
HAIR                 |         1
HAND                 |         1
WEAR                 |         1
CREW                 |         1
COMB                 |         1
HOW'VE               |         1
LOUDER               |         1
SHE'D                |         1
CLOSED               |         1
ASKED                |         1
AWAY                 |         1
SPENCER'D            |         1
YET                  |         1
BEHAVING             |         1
PERFECT              |         1
================================
         TOTAL WORDS |      1926
  TOTAL UNIQUE WORDS |       581
